FZ 867	FZ 867	23/09/2026	18:05	18:05	 F9	EASTERN PROVINCE (DMM)	International	Scheduled	 Detail
SV 555	SV 555	23/09/2026	18:15	18:15	 D11	AR RIYAD (RUH)	International	Scheduled	 Detail
PA 217	PA 217	23/09/2026	18:20	18:20	 D14	PUNJAB (ISB)	International	Scheduled	 Detail
FZ 461	FZ 461	23/09/2026	18:25	18:25	 F10	WEST BENGAL (CCU)	International	Scheduled	 Detail
SU 527	SU 527	23/09/2026	18:25	18:25	 D15	MOSCOW (SVO)	International	Scheduled	 Detail
RB 516	RB 516	23/09/2026	18:30	18:30	 D14	RIF-DIMASHQ (DAM)	International	Scheduled	 Detail
FZ 47	FZ 47	23/09/2026	18:35	18:35	 F6	MUHAFAZAT MASQAT (MCT)	International	Scheduled	 Detail
FZ 963	FZ 963	23/09/2026	18:35	18:35	 F8	NOVOSIBIRSK (OVB)	International	Scheduled	 Detail
FZ 569	FZ 569	23/09/2026	18:40	18:40	 F7	CMB (CMB)	International	Scheduled	 Detail
FZ 987	FZ 987	23/09/2026	18:40	18:40	 F5	MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
FZ 159	FZ 159	23/09/2026	18:45	18:45	 F9	MONT-LIBAN (BEY)	International	Scheduled	 Detail
AI 4218	AI 4218	23/09/2026	18:55	18:55	 D13	MAHARASHTRA (BOM)	International	Scheduled	 Detail
FZ 855	FZ 855	23/09/2026	18:55	18:55	 F12	AR RIYAD (RUH)	International	Scheduled	 Detail
KU 674	KU 674	23/09/2026	18:55	18:55	 D7	AL FARWANIYAH (KWI)	International	Scheduled	 Detail
FZ 973	FZ 973	23/09/2026	19:05	19:05	 F5	TATARSTAN (KZN)	International	Scheduled	 Detail
FZ 979	FZ 979	23/09/2026	19:05	19:05	 F10	SVERDLOVSK (SVX)	International	Scheduled	 Detail
FZ 1053	FZ 1053	23/09/2026	19:15	19:15	 C15	CENTRAL DISTRICT (TLV)	International	Scheduled	 Detail
FZ 1749	FZ 1749	23/09/2026	19:15	19:15	 B2	CENTRAL SERBIA (BEG)	International	Scheduled	 Detail
FZ 645	FZ 645	23/09/2026	19:15	19:15	 F11	MAEKEL REGION (ASM)	International	Scheduled	 Detail
FZ 143	FZ 143	23/09/2026	19:25	19:25	 F6	AMMAN (AMM)	International	Scheduled	 Detail
AI 4310	AI 4310	23/09/2026	19:30	19:30	 D2	HARYANA (DEL)	International	Scheduled	 Detail
FZ 329	FZ 329	23/09/2026	19:40	19:40	 F10	SINDH (KHI)	International	Scheduled	 Detail
FZ 5	FZ 5	23/09/2026	19:40	19:40	 F7	BALADIYAT AD DAWHAH (DOH)	International	Scheduled	 Detail
6E 1456	6E 1456	23/09/2026	19:45	19:45	 D3	MAHARASHTRA (BOM)	International	Scheduled	 Detail
J9 126	J9 126	23/09/2026	19:45	19:45	 D1	AL FARWANIYAH (KWI)	International	Scheduled	 Detail
FZ 965	FZ 965	23/09/2026	19:50	19:50	 F12	MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
FZ 807	FZ 807	23/09/2026	19:55	19:55	 F9	MAKKAH (JED)	International	Scheduled	 Detail
IX 530	IX 530	23/09/2026	19:55	19:55	 F4	KERALA (TRV)	International	Scheduled	 Detail
FYC 728	FYC 728	23/09/2026	20:00	20:00	 D16	RIF-DIMASHQ (DAM)	International	Scheduled	 Detail
